(simulator.cpp):  --  INFO: Simulator started. Log file opened.
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 17:55
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 186.7500 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 17:56
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 187.0640 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 17:57
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 187.3780 kWh

 (Model.cpp):  --  INFO: Refrigerator :: OFF at Day: 0, Time: 17:58
 (Model.cpp):  --  INFO: Refrigerator :: Energy use: 2.28 kWh
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 17:58
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 187.6920 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 17:59
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 187.7060 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:00
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 187.7200 kWh

 (Model.cpp):  --  INFO: Refrigerator :: ON at Day: 0, Time: 18:01
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:01
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 187.7340 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:02
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 188.0480 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:03
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 188.3620 kWh

 (Model.cpp):  --  INFO: Refrigerator :: OFF at Day: 0, Time: 18:04
 (Model.cpp):  --  INFO: Refrigerator :: Energy use: 2.295 kWh
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:04
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 188.6760 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:05
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 188.6900 kWh

 (Person.cpp):  --  INFO: Person :: Arrived at the house at Day: 0, Time: 18:06
 (Person.cpp):  --  INFO: Person :: Person go home after 18:00 on this day, so cooking dinner will be fast (10 minutes).
 (Person.cpp):  --  INFO: Person :: Started cooking at Day: 0, Time: 18:06
 (Person.cpp):  --  INFO: Person :: Person activated Microwave to make dinner.
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:06
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 188.7040 kWh

 (Model.cpp):  --  INFO: Refrigerator :: Instantaneous power use: 0.3 kW
 (Model.cpp):  --  INFO: Refrigerator :: ON at Day: 0, Time: 18:07
 (WaterHeater.cpp):  --  INFO: Water Heater :: Water temperature: 48.9977 C
 (Model.cpp):  --  INFO: Water Heater :: ON at Day: 0, Time: 18:07
 (Model.cpp):  --  INFO: Microwave :: Instantaneous power use: 0 kW
 (Microwave.cpp):  --  INFO: Microwave :: Run time set to: 88 seconds
 (Model.cpp):  --  INFO: Microwave :: ON at Day: 0, Time: 18:07
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:07
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 4.8140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 193.5180 kWh

 (Model.cpp):  --  INFO: Microwave :: OFF at Day: 0, Time: 18:08
 (Model.cpp):  --  INFO: Microwave :: Energy use: 4.4 kWh
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:08
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 4.8140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 198.3320 kWh

 (Model.cpp):  --  INFO: Refrigerator :: OFF at Day: 0, Time: 18:09
 (Model.cpp):  --  INFO: Refrigerator :: Energy use: 2.31 kWh
 (Person.cpp):  --  INFO: Person :: Person activated Microwave to make dinner.
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:09
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 3.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 201.6460 kWh

 (Model.cpp):  --  INFO: Microwave :: Instantaneous power use: 0 kW
 (Microwave.cpp):  --  INFO: Microwave :: Run time set to: 88 seconds
 (Model.cpp):  --  INFO: Microwave :: ON at Day: 0, Time: 18:10
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:10
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 4.5140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 206.1600 kWh

 (WaterHeater.cpp):  --  INFO: Water Heater :: Water temperature: 50.0611 C
 (Model.cpp):  --  INFO: Water Heater :: OFF at Day: 0, Time: 18:11
 (Model.cpp):  --  INFO: Water Heater :: Energy use: 0.6 kWh
 (Model.cpp):  --  INFO: Microwave :: OFF at Day: 0, Time: 18:11
 (Model.cpp):  --  INFO: Microwave :: Energy use: 6.6 kWh
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:11
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 1.5140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 207.6740 kWh

 (Model.cpp):  --  INFO: Refrigerator :: ON at Day: 0, Time: 18:12
 (Person.cpp):  --  INFO: Person :: Person activated Microwave to make dinner.
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:12
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 207.6880 kWh

 (Model.cpp):  --  INFO: Microwave :: Instantaneous power use: 0 kW
 (Microwave.cpp):  --  INFO: Microwave :: Run time set to: 88 seconds
 (Model.cpp):  --  INFO: Microwave :: ON at Day: 0, Time: 18:13
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:13
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 1.8140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 209.5020 kWh

 (Model.cpp):  --  INFO: Microwave :: OFF at Day: 0, Time: 18:14
 (Model.cpp):  --  INFO: Microwave :: Energy use: 8.8 kWh
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:14
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 1.8140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 211.3160 kWh

 (Model.cpp):  --  INFO: Refrigerator :: OFF at Day: 0, Time: 18:15
 (Model.cpp):  --  INFO: Refrigerator :: Energy use: 2.325 kWh
 (Person.cpp):  --  INFO: Person :: Stopped cooking at Day: 0, Time: 18:15
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:15
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 211.6300 kWh

 (Model.cpp):  --  INFO: Refrigerator :: Instantaneous power use: 0.3 kW
 (Model.cpp):  --  INFO: Refrigerator :: ON at Day: 0, Time: 18:16
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:16
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 211.9440 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:17
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 212.2580 kWh

 (Model.cpp):  --  INFO: Refrigerator :: OFF at Day: 0, Time: 18:18
 (Model.cpp):  --  INFO: Refrigerator :: Energy use: 2.34 kWh
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:18
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 212.5720 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:19
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 212.5860 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:20
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 212.6000 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:21
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 212.6140 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:22
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 212.6280 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:23
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 212.6420 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:24
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 212.6560 kWh

 (Model.cpp):  --  INFO: Refrigerator :: ON at Day: 0, Time: 18:25
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:25
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 212.6700 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:26
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 212.9840 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:27
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 213.2980 kWh

 (Model.cpp):  --  INFO: Refrigerator :: OFF at Day: 0, Time: 18:28
 (Model.cpp):  --  INFO: Refrigerator :: Energy use: 2.355 kWh
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:28
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 213.6120 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:29
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 213.6260 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:30
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 213.6400 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:31
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 213.6540 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:32
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 213.6680 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:33
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 213.6820 kWh

 (Person.cpp):  --  INFO: Person :: Person observed that it has been 0 days since the Dishwasher was run.
 (Person.cpp):  --  INFO: Person :: Started watching TV at Day: 0, Time: 18:34
 (Person.cpp):  --  INFO: Person :: Person activated Television to veg out.
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:34
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 213.6960 kWh

 (Model.cpp):  --  INFO: Refrigerator :: ON at Day: 0, Time: 18:35
 (Model.cpp):  --  INFO: Television :: Instantaneous power use: 0.01 kW
 (Model.cpp):  --  INFO: Television :: ON at Day: 0, Time: 18:35
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:35
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.1840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 213.8800 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:36
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.4840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 214.3640 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:37
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.4840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 214.8480 kWh

 (Model.cpp):  --  INFO: Refrigerator :: OFF at Day: 0, Time: 18:38
 (Model.cpp):  --  INFO: Refrigerator :: Energy use: 2.37 kWh
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:38
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.4840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 215.3320 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:39
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.1840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 215.5160 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:40
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.1840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 215.7000 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:41
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.1840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 215.8840 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:42
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.1840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 216.0680 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:43
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.1840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 216.2520 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:44
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.1840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 216.4360 kWh

 (Model.cpp):  --  INFO: Refrigerator :: ON at Day: 0, Time: 18:45
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:45
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.1840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 216.6200 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:46
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.4840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 217.1040 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:47
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.4840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 217.5880 kWh

 (Model.cpp):  --  INFO: Refrigerator :: OFF at Day: 0, Time: 18:48
 (Model.cpp):  --  INFO: Refrigerator :: Energy use: 2.385 kWh
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:48
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.4840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 218.0720 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:49
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.1840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 218.2560 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:50
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.1840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 218.4400 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:51
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.1840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 218.6240 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:52
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.1840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 218.8080 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:53
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.1840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 218.9920 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:54
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.1840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 219.1760 kWh

 (Model.cpp):  --  INFO: Refrigerator :: ON at Day: 0, Time: 18:55
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:55
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.1840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 219.3600 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:56
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.4840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 219.8440 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:57
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.4840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 220.3280 kWh

 (Model.cpp):  --  INFO: Refrigerator :: OFF at Day: 0, Time: 18:58
 (Model.cpp):  --  INFO: Refrigerator :: Energy use: 2.4 kWh
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:58
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.4840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 220.8120 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 18:59
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.1840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 220.9960 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 19:00
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.1840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 221.1800 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 19:01
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.1840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 221.3640 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 19:02
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.1840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 221.5480 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 19:03
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.1840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 221.7320 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 19:04
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.1840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 221.9160 kWh

 (Model.cpp):  --  INFO: Refrigerator :: ON at Day: 0, Time: 19:05
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 19:05
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.1840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 222.1000 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 19:06
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.4840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 222.5840 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 19:07
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.4840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 223.0680 kWh

 (Model.cpp):  --  INFO: Refrigerator :: OFF at Day: 0, Time: 19:08
 (Model.cpp):  --  INFO: Refrigerator :: Energy use: 2.415 kWh
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 19:08
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.4840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 223.5520 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 19:09
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.1840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 223.7360 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 19:10
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.1840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 223.9200 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 19:11
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.1840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 224.1040 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 19:12
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.1840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 224.2880 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 19:13
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.1840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 224.4720 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 19:14
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.1840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 224.6560 kWh

 (Model.cpp):  --  INFO: Refrigerator :: ON at Day: 0, Time: 19:15
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 19:15
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.1840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 224.8400 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 19:16
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.4840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 225.3240 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 19:17
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.4840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 225.8080 kWh

 (Model.cpp):  --  INFO: Refrigerator :: OFF at Day: 0, Time: 19:18
 (Model.cpp):  --  INFO: Refrigerator :: Energy use: 2.43 kWh
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 19:18
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.4840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 226.2920 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 19:19
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.1840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 226.4760 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 19:20
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.1840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 226.6600 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 19:21
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.1840 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 226.8440 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 19:22
